Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17449090;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;463;;;50723;681928.07;1018812.06;2013-12-01T00:00:00
17449103;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;464;;;50723;682474.90;1018281.89;2013-12-01T00:00:00
17449111;573108;Libáň;;;;;81671;Libáň;166103;Na Ženichově;č.p.;465;;;50723;682067.14;1018584.86;2013-12-01T00:00:00
17449120;573108;Libáň;;;;;81671;Libáň;166049;Komenského;č.p.;466;;;50723;682015.18;1018532.45;2013-12-01T00:00:00
17449138;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;467;;;50723;682473.92;1018215.47;2013-12-01T00:00:00
17449146;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;468;;;50723;681912.50;1018811.72;2013-12-01T00:00:00
17449154;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;469;;;50723;682453.16;1018428.77;2013-12-01T00:00:00
17449162;573108;Libáň;;;;;81671;Libáň;166022;Jiráskova;č.p.;470;;;50723;682158.27;1018858.33;2013-12-01T00:00:00
17449171;573108;Libáň;;;;;81671;Libáň;166022;Jiráskova;č.p.;471;;;50723;682161.55;1018865.94;2013-12-01T00:00:00
17449189;573108;Libáň;;;;;81671;Libáň;166049;Komenského;č.p.;472;;;50723;681924.36;1018506.63;2013-12-01T00:00:00
17449197;573108;Libáň;;;;;81671;Libáň;166057;Lindnerova;č.p.;473;;;50723;682561.00;1019220.70;2013-12-01T00:00:00
17449201;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;474;;;50723;681853.33;1018783.48;2013-12-01T00:00:00
17449219;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;475;;;50723;682475.46;1018233.94;2013-12-01T00:00:00
17449227;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;476;;;50723;681883.30;1018808.59;2013-12-01T00:00:00
17449235;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;477;;;50723;681890.97;1018810.21;2013-12-01T00:00:00
17449243;573108;Libáň;;;;;81671;Libáň;166111;náměstí Svobody;č.p.;478;;;50723;682349.09;1018648.79;2013-12-01T00:00:00
17449251;573108;Libáň;;;;;81671;Libáň;166049;Komenského;č.p.;479;;;50723;681733.42;1018377.82;2015-01-08T00:00:00
17449260;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;480;;;50723;681816.02;1018780.71;2013-12-01T00:00:00
17449278;573108;Libáň;;;;;81671;Libáň;165999;Českých bratří;č.p.;481;;;50723;682745.08;1018348.53;2013-12-01T00:00:00
17449286;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;482;;;50723;681836.41;1018781.60;2013-12-01T00:00:00
17449294;573108;Libáň;;;;;81671;Libáň;165999;Českých bratří;č.p.;483;;;50723;682751.86;1018343.68;2013-12-01T00:00:00
17449308;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;484;;;50723;682478.82;1018252.46;2013-12-01T00:00:00
17449316;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;485;;;50723;681823.45;1018831.94;2013-12-01T00:00:00
17449324;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;486;;;50723;681835.26;1018820.06;2013-12-01T00:00:00
17449332;573108;Libáň;;;;;81671;Libáň;166146;Tyršova;č.p.;487;;;50723;681891.65;1018609.65;2013-12-01T00:00:00
17449341;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;488;;;50723;681808.75;1018843.70;2013-12-01T00:00:00
17449359;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;489;;;50723;682438.67;1018412.16;2013-12-01T00:00:00
17449367;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;490;;;50723;682447.48;1018637.94;2015-01-08T00:00:00
17449375;573108;Libáň;;;;;81671;Libáň;166065;Míru;č.p.;491;;;50723;682498.35;1018204.98;2013-12-01T00:00:00
17449383;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;492;;;50723;682473.95;1018266.42;2013-12-01T00:00:00
17449391;573108;Libáň;;;;;81671;Libáň;165999;Českých bratří;č.p.;493;;;50723;682712.72;1018297.08;2013-12-01T00:00:00
17449405;573108;Libáň;;;;;81671;Libáň;165972;Boženy Němcové;č.p.;494;;;50723;682091.88;1018571.43;2013-12-01T00:00:00
17449413;573108;Libáň;;;;;81671;Libáň;166049;Komenského;č.p.;495;;;50723;682091.86;1018523.61;2013-12-01T00:00:00
17449421;573108;Libáň;;;;;81671;Libáň;166006;Dukelská;č.p.;496;;;50723;681752.05;1018897.39;2013-12-01T00:00:00
17449430;573108;Libáň;;;;;81671;Libáň;166146;Tyršova;č.p.;497;;;50723;681861.58;1018538.31;2013-12-01T00:00:00
17449448;573108;Libáň;;;;;81671;Libáň;166146;Tyršova;č.p.;498;;;50723;681854.19;1018538.50;2013-12-01T00:00:00
17449456;573108;Libáň;;;;;81671;Libáň;166146;Tyršova;č.p.;499;;;50723;681831.78;1018539.78;2013-12-01T00:00:00
17449464;573108;Libáň;;;;;81671;Libáň;166146;Tyršova;č.p.;500;;;50723;681825.06;1018540.68;2013-12-01T00:00:00
17449472;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;501;;;50723;682437.57;1018396.21;2013-12-01T00:00:00
17449481;573108;Libáň;;;;;81671;Libáň;166120;Jičínská;č.p.;502;;;50723;682439.33;1018450.20;2013-12-01T00:00:00
17449499;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;503;;;50723;682339.85;1018535.49;2013-12-01T00:00:00
17449502;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;504;;;50723;682187.41;1019300.92;2013-12-01T00:00:00
17449511;573108;Libáň;;;;;81671;Libáň;166065;Míru;č.p.;505;;;50723;682549.82;1018462.10;2013-12-01T00:00:00
17449529;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;506;;;50723;682304.38;1018536.06;2013-12-01T00:00:00
17449537;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;507;;;50723;682305.56;1018520.94;2013-12-01T00:00:00
17449545;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;508;;;50723;682302.67;1018504.30;2013-12-01T00:00:00
17449553;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;509;;;50723;682302.78;1018471.13;2013-12-01T00:00:00
17449561;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;510;;;50723;682304.34;1018413.96;2013-12-01T00:00:00
17449570;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;511;;;50723;682332.16;1018410.75;2013-12-01T00:00:00
